ktotal,kBell,kGHZ,TotalRate,TotalRateBell,TotalRateGHZ
1,0,0,0,0,0
1,0,1,0,0,0
1,1,0,0,0,0
2,0,0,0,0,0
2,0,1,0,0,0
2,0,2,0,0,0
2,1,0,0,0,0
2,1,1,0,0,0
2,2,0,0.112212030571856,0.112212030571856,0
3,0,0,0,0,0
3,0,1,0,0,0
3,0,2,0,0,0
3,0,3,0,0,0
3,1,0,0,0,0
3,1,1,0,0,0
3,1,2,0,0,0
3,2,0,0.112212030571856,0.112212030571856,0
3,2,1,0.112212030571856,0.112212030571856,0
3,3,0,0.112212030571856,0.112212030571856,0
4,0,0,0,0,0
4,0,1,0,0,0
4,0,2,0,0,0
4,0,3,0,0,0
4,0,4,0,0,0
4,1,0,0,0,0
4,1,1,0,0,0
4,1,2,0,0,0
4,1,3,0,0,0
4,2,0,0.112212030571856,0.112212030571856,0
4,2,1,0.112212030571856,0.112212030571856,0
4,2,2,0.112212030571856,0.112212030571856,0
4,3,0,0.112212030571856,0.112212030571856,0
4,3,1,0.112212030571856,0.112212030571856,0
4,4,0,0.434847128499401,0.434847128499401,0
5,0,0,0,0,0
5,0,1,0,0,0
5,0,2,0,0,0
5,0,3,0,0,0
5,0,4,0,0,0
5,0,5,0,0,0
5,1,0,0,0,0
5,1,1,0,0,0
5,1,2,0,0,0
5,1,3,0,0,0
5,1,4,0,0,0
5,2,0,0.112212030571856,0.112212030571856,0
5,2,1,0.112212030571856,0.112212030571856,0
5,2,2,0.112212030571856,0.112212030571856,0
5,2,3,0.112212030571856,0.112212030571856,0
5,3,0,0.112212030571856,0.112212030571856,0
5,3,1,0.112212030571856,0.112212030571856,0
5,3,2,0.112212030571856,0.112212030571856,0
5,4,0,0.434847128499401,0.434847128499401,0
5,4,1,0.434847128499401,0.434847128499401,0
5,5,0,0.434847128499401,0.434847128499401,0
6,0,0,0,0,0
6,0,1,0,0,0
6,0,2,0,0,0
6,0,3,0,0,0
6,0,4,0,0,0
6,0,5,0,0,0
6,0,6,0.413784259292221,0,0.413784259292221
6,1,0,0,0,0
6,1,1,0,0,0
6,1,2,0,0,0
6,1,3,0,0,0
6,1,4,0,0,0
6,1,5,0,0,0
6,2,0,0.112212030571856,0.112212030571856,0
6,2,1,0.112212030571856,0.112212030571856,0
6,2,2,0.112212030571856,0.112212030571856,0
6,2,3,0.112212030571856,0.112212030571856,0
6,2,4,0.112212030571856,0.112212030571856,0
6,3,0,0.112212030571856,0.112212030571856,0
6,3,1,0.112212030571856,0.112212030571856,0
6,3,2,0.112212030571856,0.112212030571856,0
6,3,3,0.112212030571856,0.112212030571856,0
6,4,0,0.434847128499401,0.434847128499401,0
6,4,1,0.434847128499401,0.434847128499401,0
6,4,2,0.434847128499401,0.434847128499401,0
6,5,0,0.434847128499401,0.434847128499401,0
6,5,1,0.434847128499401,0.434847128499401,0
6,6,0,0.861863222316126,0.861863222316126,0
7,0,0,0,0,0
7,0,1,0,0,0
7,0,2,0,0,0
7,0,3,0,0,0
7,0,4,0,0,0
7,0,5,0,0,0
7,0,6,0.413784259292221,0,0.413784259292221
7,0,7,0.413784259292221,0,0.413784259292221
7,1,0,0,0,0
7,1,1,0,0,0
7,1,2,0,0,0
7,1,3,0,0,0
7,1,4,0,0,0
7,1,5,0,0,0
7,1,6,0.413784259292221,0,0.413784259292221
7,2,0,0.112212030571856,0.112212030571856,0
7,2,1,0.112212030571856,0.112212030571856,0
7,2,2,0.112212030571856,0.112212030571856,0
7,2,3,0.112212030571856,0.112212030571856,0
7,2,4,0.112212030571856,0.112212030571856,0
7,2,5,0.112212030571856,0.112212030571856,0
7,3,0,0.112212030571856,0.112212030571856,0
7,3,1,0.112212030571856,0.112212030571856,0
7,3,2,0.112212030571856,0.112212030571856,0
7,3,3,0.112212030571856,0.112212030571856,0
7,3,4,0.112212030571856,0.112212030571856,0
7,4,0,0.434847128499401,0.434847128499401,0
7,4,1,0.434847128499401,0.434847128499401,0
7,4,2,0.434847128499401,0.434847128499401,0
7,4,3,0.434847128499401,0.434847128499401,0
7,5,0,0.434847128499401,0.434847128499401,0
7,5,1,0.434847128499401,0.434847128499401,0
7,5,2,0.434847128499401,0.434847128499401,0
7,6,0,0.861863222316126,0.861863222316126,0
7,6,1,0.861863222316126,0.861863222316126,0
7,7,0,0.861863222316126,0.861863222316126,0
8,0,0,0,0,0
8,0,1,0,0,0
8,0,2,0,0,0
8,0,3,0,0,0
8,0,4,0,0,0
8,0,5,0,0,0
8,0,6,0.413784259292221,0,0.413784259292221
8,0,7,0.413784259292221,0,0.413784259292221
8,0,8,0.413784259292221,0,0.413784259292221
8,1,0,0,0,0
8,1,1,0,0,0
8,1,2,0,0,0
8,1,3,0,0,0
8,1,4,0,0,0
8,1,5,0,0,0
8,1,6,0.413784259292221,0,0.413784259292221
8,1,7,0.413784259292221,0,0.413784259292221
8,2,0,0.112212030571856,0.112212030571856,0
8,2,1,0.112212030571856,0.112212030571856,0
8,2,2,0.112212030571856,0.112212030571856,0
8,2,3,0.112212030571856,0.112212030571856,0
8,2,4,0.112212030571856,0.112212030571856,0
8,2,5,0.112212030571856,0.112212030571856,0
8,2,6,0.525996289864077,0.112212030571856,0.413784259292221
8,3,0,0.112212030571856,0.112212030571856,0
8,3,1,0.112212030571856,0.112212030571856,0
8,3,2,0.112212030571856,0.112212030571856,0
8,3,3,0.112212030571856,0.112212030571856,0
8,3,4,0.112212030571856,0.112212030571856,0
8,3,5,0.112212030571856,0.112212030571856,0
8,4,0,0.434847128499401,0.434847128499401,0
8,4,1,0.434847128499401,0.434847128499401,0
8,4,2,0.434847128499401,0.434847128499401,0
8,4,3,0.434847128499401,0.434847128499401,0
8,4,4,0.434847128499401,0.434847128499401,0
8,5,0,0.434847128499401,0.434847128499401,0
8,5,1,0.434847128499401,0.434847128499401,0
8,5,2,0.434847128499401,0.434847128499401,0
8,5,3,0.434847128499401,0.434847128499401,0
8,6,0,0.861863222316126,0.861863222316126,0
8,6,1,0.861863222316126,0.861863222316126,0
8,6,2,0.861863222316126,0.861863222316126,0
8,7,0,0.861863222316126,0.861863222316126,0
8,7,1,0.861863222316126,0.861863222316126,0
8,8,0,1.24959077397682,1.24959077397682,0
9,0,0,0,0,0
9,0,1,0,0,0
9,0,2,0,0,0
9,0,3,0,0,0
9,0,4,0,0,0
9,0,5,0,0,0
9,0,6,0.413784259292221,0,0.413784259292221
9,0,7,0.413784259292221,0,0.413784259292221
9,0,8,0.413784259292221,0,0.413784259292221
9,0,9,0.727596856209078,0,0.727596856209078
9,1,0,0,0,0
9,1,1,0,0,0
9,1,2,0,0,0
9,1,3,0,0,0
9,1,4,0,0,0
9,1,5,0,0,0
9,1,6,0.413784259292221,0,0.413784259292221
9,1,7,0.413784259292221,0,0.413784259292221
9,1,8,0.413784259292221,0,0.413784259292221
9,2,0,0.112212030571856,0.112212030571856,0
9,2,1,0.112212030571856,0.112212030571856,0
9,2,2,0.112212030571856,0.112212030571856,0
9,2,3,0.112212030571856,0.112212030571856,0
9,2,4,0.112212030571856,0.112212030571856,0
9,2,5,0.112212030571856,0.112212030571856,0
9,2,6,0.525996289864077,0.112212030571856,0.413784259292221
9,2,7,0.525996289864077,0.112212030571856,0.413784259292221
9,3,0,0.112212030571856,0.112212030571856,0
9,3,1,0.112212030571856,0.112212030571856,0
9,3,2,0.112212030571856,0.112212030571856,0
9,3,3,0.112212030571856,0.112212030571856,0
9,3,4,0.112212030571856,0.112212030571856,0
9,3,5,0.112212030571856,0.112212030571856,0
9,3,6,0.525996289864077,0.112212030571856,0.413784259292221
9,4,0,0.434847128499401,0.434847128499401,0
9,4,1,0.434847128499401,0.434847128499401,0
9,4,2,0.434847128499401,0.434847128499401,0
9,4,3,0.434847128499401,0.434847128499401,0
9,4,4,0.434847128499401,0.434847128499401,0
9,4,5,0.434847128499401,0.434847128499401,0
9,5,0,0.434847128499401,0.434847128499401,0
9,5,1,0.434847128499401,0.434847128499401,0
9,5,2,0.434847128499401,0.434847128499401,0
9,5,3,0.434847128499401,0.434847128499401,0
9,5,4,0.434847128499401,0.434847128499401,0
9,6,0,0.861863222316126,0.861863222316126,0
9,6,1,0.861863222316126,0.861863222316126,0
9,6,2,0.861863222316126,0.861863222316126,0
9,6,3,0.861863222316126,0.861863222316126,0
9,7,0,0.861863222316126,0.861863222316126,0
9,7,1,0.861863222316126,0.861863222316126,0
9,7,2,0.861863222316126,0.861863222316126,0
9,8,0,1.24959077397682,1.24959077397682,0
9,8,1,1.24959077397682,1.24959077397682,0
9,9,0,1.24959077397682,1.24959077397682,0
10,0,0,0,0,0
10,0,1,0,0,0
10,0,2,0,0,0
10,0,3,0,0,0
10,0,4,0,0,0
10,0,5,0,0,0
10,0,6,0.413784259292221,0,0.413784259292221
10,0,7,0.413784259292221,0,0.413784259292221
10,0,8,0.413784259292221,0,0.413784259292221
10,0,9,0.727596856209078,0,0.727596856209078
10,0,10,0.727596856209078,0,0.727596856209078
10,1,0,0,0,0
10,1,1,0,0,0
10,1,2,0,0,0
10,1,3,0,0,0
10,1,4,0,0,0
10,1,5,0,0,0
10,1,6,0.413784259292221,0,0.413784259292221
10,1,7,0.413784259292221,0,0.413784259292221
10,1,8,0.413784259292221,0,0.413784259292221
10,1,9,0.727596856209078,0,0.727596856209078
10,2,0,0.112212030571856,0.112212030571856,0
10,2,1,0.112212030571856,0.112212030571856,0
10,2,2,0.112212030571856,0.112212030571856,0
10,2,3,0.112212030571856,0.112212030571856,0
10,2,4,0.112212030571856,0.112212030571856,0
10,2,5,0.112212030571856,0.112212030571856,0
