r,Best_Allocation,MaxRate
1,0.5,14.8643137030948
1.5,0.5,14.453452268436
2,0.5,13.1892423061688
2.5,0.5,10.8129731528357
3,0.5,7.64026837471686
3.5,0.5,4.88067186577921
4,0.5,2.65580607514184
4.5,0.5,1.24141824332336
5,0.466666666666667,0.387856203103462
