r,Best_Allocation,MaxRate
1,0.5,14.8685905960438
1.5,0.5,14.4231261760303
2,0.5,12.7553724953343
2.5,0.5,10.5829816674322
3,0.5,7.77960078547755
3.5,0.5,4.84394243574681
4,0.5,2.70673208761258
4.5,0.5,1.19634792209791
5,0.5,0.396177456150772
